tinh,huyen,xa,diaban,hoso,hoso_1,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c,rn
823.0,1.0,9.0,25.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,1.0,9.0,25.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,1.0,9.0,25.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,1.0,9.0,25.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,1.0,9.0,25.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,1.0,9.0,25.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,1.0,9.0,25.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,1.0,11.0,9.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,1.0,11.0,9.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,1.0,11.0,9.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,1.0,11.0,9.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,1.0,11.0,9.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,1.0,11.0,9.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,1.0,11.0,9.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,1.0,11.0,9.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,1.0,11.0,9.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,1.0,11.0,9.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,1.0,11.0,9.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,1.0,11.0,9.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,1.0,11.0,9.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,1.0,11.0,9.0,3.0,3,1298.0,0.0,0.0,7358.0,0.0,0.0,0.0,1442.0,0.0,0,3518,0,1
823.0,1.0,11.0,9.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,1.0,13.0,25.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,1.0,13.0,25.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,1.0,13.0,25.0,16.0,16,749.0,0.0,0.0,4016.0,0.0,0.0,0.0,1804.0,0.0,0,405,0,1
823.0,1.0,13.0,25.0,3.0,3,1298.0,0.0,0.0,7358.0,0.0,0.0,0.0,1442.0,0.0,0,3518,0,1
823.0,1.0,13.0,25.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,1.0,13.0,25.0,17.0,17,2200.0,0.0,0.0,39128.0,0.0,0.0,0.0,9016.0,0.0,0,7500,0,1
823.0,1.0,13.0,25.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,1.0,13.0,25.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,1.0,13.0,25.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,1.0,13.0,25.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,1.0,13.0,25.0,20.0,20,1223.0,0.0,0.0,13144.0,0.0,0.0,0.0,1790.0,0.0,0,850,0,1
823.0,1.0,13.0,25.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,1.0,13.0,25.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,1.0,13.0,25.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,1.0,13.0,25.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,1.0,17.0,14.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,1.0,17.0,14.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,1.0,17.0,14.0,3.0,3,1298.0,0.0,0.0,7358.0,0.0,0.0,0.0,1442.0,0.0,0,3518,0,1
823.0,1.0,17.0,14.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,1.0,17.0,14.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,1.0,17.0,14.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,1.0,17.0,14.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,1.0,17.0,14.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,1.0,17.0,14.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,1.0,17.0,14.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,1.0,17.0,14.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,1.0,17.0,14.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,1.0,17.0,14.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,1.0,17.0,14.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,1.0,17.0,14.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,1.0,19.0,20.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,1.0,19.0,20.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,1.0,19.0,20.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,1.0,19.0,20.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,1.0,19.0,20.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,1.0,19.0,20.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,1.0,19.0,20.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,1.0,19.0,20.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,1.0,19.0,20.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,1.0,19.0,20.0,3.0,3,1298.0,0.0,0.0,7358.0,0.0,0.0,0.0,1442.0,0.0,0,3518,0,1
823.0,1.0,19.0,20.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,1.0,19.0,20.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,1.0,19.0,20.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,1.0,19.0,20.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,1.0,19.0,20.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,1.0,21.0,8.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,1.0,21.0,8.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,1.0,21.0,8.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,1.0,21.0,8.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,1.0,21.0,8.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,1.0,21.0,8.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,1.0,21.0,8.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,1.0,21.0,8.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,1.0,21.0,8.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,1.0,21.0,8.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,1.0,21.0,8.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,1.0,21.0,8.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,1.0,21.0,8.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,1.0,21.0,8.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,1.0,21.0,8.0,16.0,16,749.0,0.0,0.0,4016.0,0.0,0.0,0.0,1804.0,0.0,0,405,0,1
823.0,1.0,27.0,12.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,1.0,27.0,12.0,3.0,3,1298.0,0.0,0.0,7358.0,0.0,0.0,0.0,1442.0,0.0,0,3518,0,1
823.0,1.0,27.0,12.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,1.0,27.0,12.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,1.0,27.0,12.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,1.0,27.0,12.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,1.0,27.0,12.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,1.0,27.0,12.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,1.0,27.0,12.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,1.0,27.0,12.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,1.0,27.0,12.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,1.0,27.0,12.0,16.0,16,749.0,0.0,0.0,4016.0,0.0,0.0,0.0,1804.0,0.0,0,405,0,1
823.0,1.0,27.0,12.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,1.0,27.0,12.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,1.0,27.0,12.0,19.0,19,925.0,585.0,340.0,14029.0,6645.0,7384.0,1050.0,601.0,601.0,0,150,5030,1
823.0,3.0,1.0,14.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,3.0,1.0,14.0,3.0,3,1298.0,0.0,0.0,7358.0,0.0,0.0,0.0,1442.0,0.0,0,3518,0,1
823.0,3.0,1.0,14.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,3.0,1.0,14.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,3.0,1.0,14.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,3.0,1.0,14.0,17.0,17,2200.0,0.0,0.0,39128.0,0.0,0.0,0.0,9016.0,0.0,0,7500,0,1
823.0,3.0,1.0,14.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,3.0,1.0,14.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,3.0,1.0,14.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,3.0,1.0,14.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,3.0,1.0,14.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,3.0,1.0,14.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,3.0,1.0,14.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,3.0,1.0,14.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,3.0,1.0,14.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,3.0,5.0,3.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,3.0,5.0,3.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,3.0,5.0,3.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,3.0,5.0,3.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,3.0,5.0,3.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,3.0,5.0,3.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,3.0,5.0,3.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,3.0,5.0,3.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,3.0,5.0,3.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,3.0,5.0,3.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,3.0,5.0,3.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,3.0,5.0,3.0,17.0,17,2200.0,0.0,0.0,39128.0,0.0,0.0,0.0,9016.0,0.0,0,7500,0,1
823.0,3.0,5.0,3.0,18.0,18,2345.5,0.0,0.0,19267.0,0.0,0.0,0.0,8708.0,0.0,0,1341,407560,1
823.0,3.0,5.0,3.0,19.0,19,925.0,585.0,340.0,14029.0,6645.0,7384.0,1050.0,601.0,601.0,0,150,5030,1
823.0,3.0,5.0,3.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,3.0,8.0,23.0,15.0,15,630.0,630.0,0.0,17000.0,17000.0,0.0,0.0,1705.0,1705.0,0,1420,0,1
823.0,3.0,8.0,23.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,3.0,8.0,23.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,3.0,8.0,23.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,3.0,8.0,23.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,3.0,8.0,23.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,3.0,8.0,23.0,3.0,3,1298.0,0.0,0.0,7358.0,0.0,0.0,0.0,1442.0,0.0,0,3518,0,1
823.0,3.0,8.0,23.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,3.0,8.0,23.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,3.0,8.0,23.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,3.0,8.0,23.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,3.0,8.0,23.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,3.0,8.0,23.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,3.0,8.0,23.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,3.0,8.0,23.0,12.0,12,3795.0,0.0,0.0,30853.0,0.0,0.0,0.0,4680.0,0.0,0,5060,0,1
823.0,3.0,11.0,24.0,4.0,4,4330.0,0.0,0.0,16652.0,0.0,0.0,0.0,9275.0,0.0,0,3150,0,1
823.0,3.0,11.0,24.0,5.0,5,1784.0,0.0,0.0,10907.0,0.0,0.0,0.0,10376.0,0.0,0,26380,2350,1
823.0,3.0,11.0,24.0,6.0,6,663.0,0.0,0.0,4346.0,0.0,0.0,0.0,1646.0,0.0,0,572,2300,1
823.0,3.0,11.0,24.0,16.0,16,749.0,0.0,0.0,4016.0,0.0,0.0,0.0,1804.0,0.0,0,405,0,1
823.0,3.0,11.0,24.0,2.0,2,1034.0,0.0,0.0,13522.0,0.0,0.0,0.0,1449.0,0.0,0,700,0,1
823.0,3.0,11.0,24.0,11.0,11,649.0,0.0,0.0,15323.0,0.0,0.0,0.0,1915.0,0.0,0,3380,0,1
823.0,3.0,11.0,24.0,10.0,10,1082.0,0.0,0.0,17601.0,0.0,0.0,0.0,2871.0,0.0,0,780,100000,1
823.0,3.0,11.0,24.0,9.0,9,1100.0,0.0,0.0,4602.0,0.0,0.0,0.0,3118.0,0.0,0,1440,12340,1
823.0,3.0,11.0,24.0,8.0,8,515.0,0.0,0.0,2494.0,0.0,0.0,0.0,1100.0,0.0,0,830,0,1
823.0,3.0,11.0,24.0,7.0,7,3453.0,0.0,0.0,31872.0,0.0,0.0,0.0,8255.0,0.0,0,7245,25440,1
823.0,3.0,11.0,24.0,1.0,1,6317.0,0.0,0.0,29399.0,0.0,0.0,0.0,22280.0,0.0,0,7850,0,1
823.0,3.0,11.0,24.0,18.0,18,2345.5,0.0,0.0,19267.0,0.0,0.0,0.0,8708.0,0.0,0,1341,407560,1
823.0,3.0,11.0,24.0,20.0,20,1223.0,0.0,0.0,13144.0,0.0,0.0,0.0,1790.0,0.0,0,850,0,1
823.0,3.0,11.0,24.0,13.0,13,1668.0,0.0,0.0,10895.0,0.0,0.0,0.0,2935.0,0.0,0,2000,0,1
823.0,3.0,11.0,24.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
823.0,3.0,13.0,39.0,14.0,14,2450.0,805.0,1645.0,18129.0,7724.0,10405.0,1000.0,3600.0,3600.0,0,1745,0,1
